telep,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP,teltipus
Bátaapáti,312,212,207,67.95,66.35,134,57,,1,,4,11,,,,,,,,210,67.31,60,3,6,1,12,128,Falu
Bátaszék,5031,3361,3310,66.81,65.79,1801,1116,79,24,12,,278,,,,,,,,3306,65.71,1028,32,74,27,277,1794,Kisváros
Baté,615,429,422,69.76,68.62,256,144,,7,4,11,,,,,,,,,422,68.62,140,9,12,2,24,235,Falu
Bátmonostor,1208,806,791,66.72,65.48,532,182,13,3,,,61,,,,,,,,789,65.31,168,1,17,6,64,532,Falu
Bátonyterenye,9273,5586,5523,60.24,59.56,2765,2248,84,42,20,44,320,,,,,,,,5540,59.74,2047,48,91,35,390,2928,Kisváros
Bátor,304,228,226,75,74.34,119,72,,1,,,32,2,,,,,,,227,74.67,65,1,12,1,28,120,Falu
Bátorliget,528,356,346,67.42,65.53,198,111,7,3,,2,25,,,,,,,,352,66.67,106,2,5,2,30,207,Falu
Battonya,4299,2317,2252,53.9,52.38,1009,867,28,7,10,7,90,234,,,,,,,2294,53.36,836,10,44,13,147,1159,Kisváros
Bátya,1626,1063,1042,65.38,64.08,620,325,,27,,2,68,,,,,,,,1040,63.96,327,3,18,7,65,619,Falu
Batyk,301,184,182,61.13,60.47,118,43,4,,,3,14,,,,,,,,182,60.47,43,,2,,14,123,Falu
Bázakerettye,553,399,395,72.15,71.43,150,193,9,1,,4,38,,,,,,,,394,71.25,185,4,15,1,45,144,Falu
