telep,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP,teltipus
Szentkirályszabadja,1626,1202,1190,73.92,73.19,634,396,49,23,,14,74,,,,,,,,1188,73.06,412,19,62,17,78,600,Falu
Szentkozmadombja,49,41,40,83.67,81.63,20,5,3,,,,12,,,,,,,,40,81.63,6,,2,,12,20,Falu
Szentlászló,606,391,386,64.52,63.7,224,117,9,4,,,25,7,,,,,,,387,63.86,118,4,10,4,27,217,Falu
Szentliszló,230,160,159,69.57,69.13,107,32,,2,3,6,9,,,,,,,,159,69.13,33,6,1,2,11,106,Falu
Szentlőrinc,5063,3400,3361,67.15,66.38,1902,1029,101,21,,,220,88,,,,,,,3366,66.48,1053,14,99,35,232,1874,Kisváros
Szentlőrinckáta,1535,911,895,59.35,58.31,542,244,24,9,,7,69,,,,,,,,900,58.63,245,5,22,10,65,553,Falu
Szentmargitfalva,71,39,39,54.93,54.93,23,12,1,,,,3,,,,,,,,39,54.93,10,,3,,3,23,Falu
Szentmártonkáta,3984,2429,2390,60.97,59.99,1334,765,54,36,,42,159,,,,,,,,2404,60.34,742,29,65,33,160,1375,Kisváros
Szentpéterfa,814,664,658,81.57,80.84,523,107,,4,,,24,,,,,,,,655,80.47,105,1,10,3,24,461,Falu
Szentpéterfölde,102,60,59,58.82,57.84,31,11,3,3,,5,6,,,,,,,,58,56.86,13,6,3,1,5,30,Falu
Szentpéterszeg,889,565,552,63.55,62.09,285,115,,2,2,1,19,128,,,,,,,556,62.54,136,6,16,4,29,365,Falu
Szentpéterúr,673,345,337,51.26,50.07,249,60,6,,,7,15,,,,,,,,337,50.07,60,7,4,,18,248,Falu
Szenyér,216,120,118,55.56,54.63,111,5,,,,,2,,,,,,,,117,54.17,3,,1,1,2,110,Falu
Szepetnek,1231,785,776,63.77,63.04,424,281,7,9,1,8,46,,,,,,,,776,63.04,259,8,9,7,46,419,Falu
Szerecseny,669,424,417,63.38,62.33,317,63,,4,,4,29,,,,,,,,420,62.78,60,5,8,3,37,307,Falu
Szeremle,1104,683,673,61.87,60.96,460,168,8,3,,,34,,,,,,,,674,61.05,155,,9,3,42,465,Falu
Szerencs,7138,5115,5057,71.66,70.85,2926,1952,,48,26,47,,58,,,,,,,5078,71.14,1863,45,113,41,312,2651,Kisváros
Szerep,1001,552,535,55.14,53.45,429,94,,1,,1,10,,,,,,,,507,50.65,86,,,,10,411,Falu
Szergény,246,158,157,64.23,63.82,117,27,,,,1,12,,,,,,,,149,60.57,25,,,,12,112,Falu
Szigetbecse,1113,809,797,72.69,71.61,517,219,15,6,2,10,28,,,,,,,,802,72.06,211,7,15,8,30,472,Falu
Szigetcsép,2153,1502,1483,69.76,68.88,808,536,27,9,,5,89,9,,,,,,,1486,69.02,486,5,42,11,90,747,Falu
Szigethalom,14378,9627,9439,66.96,65.65,4288,3979,301,92,,45,621,113,,,,,,,9461,65.8,3795,75,356,114,617,4493,Középváros
Szigetmonostor,2279,1623,1614,71.22,70.82,869,534,84,19,5,15,88,,,,,,,,1611,70.69,553,14,108,19,85,830,Falu
Szigetszentmárton,1977,1390,1374,70.31,69.5,633,604,28,17,,5,74,13,,,,,,,1372,69.4,535,6,41,17,89,617,Falu
Szigetszentmiklós,32201,23337,23076,72.47,71.66,10066,10180,823,339,,99,1248,321,,,,,,,23135,71.85,10007,136,969,322,1245,10365,Középváros
Szigetújfalu,1829,1275,1257,69.71,68.73,573,543,41,8,,7,74,11,,,,,,,1249,68.29,490,12,42,11,86,551,Falu
Szigetvár,9724,6687,6606,68.77,67.94,3207,2709,203,49,,,342,96,,,,,,,6623,68.11,2798,43,212,62,354,3095,Kisváros
Szigliget,749,543,534,72.5,71.3,276,238,10,4,,,,6,,,,,,,540,72.1,196,2,23,6,31,282,Falu
Szihalom,1655,1077,1057,65.08,63.87,596,308,23,6,,13,111,,,,,,,,1065,64.35,318,8,18,10,115,596,Falu
Szijártóháza,21,9,9,42.86,42.86,6,2,1,,,,,,,,,,,,9,42.86,2,,,,,7,Falu
Szikszó,4333,2870,2848,66.24,65.73,1778,958,,32,13,28,,39,,,,,,,2852,65.82,867,13,52,18,218,1676,Kisváros
Szil,1053,698,689,66.29,65.43,490,150,,5,,,41,,,,,3,,,684,64.96,182,,6,7,46,443,Falu
Szilágy,233,161,159,69.1,68.24,114,33,5,,2,1,4,,,,,,,,157,67.38,34,1,4,2,7,92,Falu
Szilaspogony,211,137,135,64.93,63.98,103,23,,,,1,8,,,,,,,,136,64.45,18,1,,,7,110,Falu
Szilsárkány,560,428,426,76.43,76.07,334,67,,8,,,16,,,,,1,,,427,76.25,72,4,6,5,20,319,Falu
Szilvágy,146,115,112,78.77,76.71,82,27,,1,,,2,,,,,,,,114,78.08,27,,,,3,84,Falu
Szilvás,107,77,72,71.96,67.29,41,18,5,,,,8,,,,,,,,75,70.09,16,,3,,10,46,Falu
Szilvásvárad,1235,874,867,70.77,70.2,503,271,,13,,,62,18,,,,,,,870,70.45,282,7,26,9,77,469,Falu
Szilvásszentmárton,150,106,105,70.67,70,79,18,1,1,,,3,3,,,,,,,106,70.67,18,,,1,4,83,Falu
Szin,517,359,354,69.44,68.47,325,18,1,,,1,7,2,,,,,,,351,67.89,17,,1,,8,325,Falu
Szinpetri,161,118,115,73.29,71.43,84,22,2,,1,1,4,1,,,,,,,117,72.67,24,4,1,,3,85,Falu
Szirák,783,452,445,57.73,56.83,339,75,4,1,1,3,22,,,,,,,,446,56.96,76,4,5,2,17,339,Falu
Szirmabesenyő,3445,2558,2539,74.25,73.7,1140,1080,74,43,4,11,187,,,,,,,,2545,73.88,1128,16,75,47,144,1133,Falu
Szob,2086,1491,1479,71.48,70.9,879,421,42,8,12,11,106,,,,,,,,1475,70.71,415,13,46,17,107,873,Falu
Szokolya,330,187,182,56.67,55.15,135,29,6,5,,,,7,,,,,,,183,55.45,26,1,4,,16,136,Falu
Szólád,264,195,191,73.86,72.35,151,23,,1,,,16,,,,,,,,192,72.73,22,,4,1,12,153,Falu
Szolnok,2464,1830,1798,74.27,72.97,1167,464,46,18,,9,94,,,,,,,,1813,73.58,465,10,61,25,91,1152,Falu
Szombathely,3681,2854,2794,77.53,75.9,1328,1163,106,22,2,12,161,,,,,,,,2812,76.39,1133,12,129,35,167,1336,Falu
Szomód,96,60,56,62.5,58.33,45,7,2,,,,1,1,,,,,,,58,60.42,6,,2,,2,48,Falu
Szomolya,293,187,184,63.82,62.8,109,56,,5,1,,13,,,,,,,,176,60.07,54,,5,2,10,97,Falu
Szomor,184,144,141,78.26,76.63,105,33,,,,,3,,,,,,,,141,76.63,25,,4,,3,109,Falu
Szorgalmatos,1487,1044,1020,70.21,68.59,635,282,27,8,,8,60,,,,,,,,1023,68.8,284,11,41,9,70,606,Falu
Szorosad,446,323,319,72.42,71.52,226,83,,2,1,7,,,,,,,,,319,71.52,85,2,8,1,18,205,Falu
Szőc,55949,40137,39563,71.74,70.71,17246,16810,1193,510,240,347,2794,,,,,,,423,39626,70.83,16937,393,1351,508,3009,17413,Nagyváros
Szőce,96,73,73,76.04,76.04,45,17,2,1,1,,1,6,,,,,,,73,76.04,21,,3,1,3,45,Falu
Sződ,991,694,685,70.03,69.12,441,180,,6,,,58,,,,,,,,688,69.42,140,4,20,4,65,455,Falu
Sződliget,61594,46951,46371,76.23,75.28,22411,19391,1456,480,61,422,2150,,,,,,,,46479,75.46,17917,347,1636,466,2126,23842,Nagyváros
Szögliget,1788,1317,1301,73.66,72.76,684,414,62,24,,11,106,,,,,,,,1296,72.48,386,12,57,12,104,640,Falu
Szőke,1204,788,772,65.45,64.12,510,170,12,8,1,6,58,7,,,,,,,762,63.29,194,5,14,7,69,473,Falu
Szőkéd,892,649,643,72.76,72.09,337,228,24,,,4,36,14,,,,,,,642,71.97,208,4,33,12,32,322,Falu
Szőkedencs,746,478,468,64.08,62.73,255,163,,1,,6,35,8,,,,,,,468,62.73,171,6,8,,44,239,Falu
Szőlősardó,76,57,57,75,75,34,21,,,2,,,,,,,,,,57,75,22,,,,1,34,Falu
Szőlősgyörök,492,337,328,68.5,66.67,215,55,7,5,1,3,30,12,,,,,,,334,67.89,63,3,9,7,26,219,Falu
Szörény,58,39,39,67.24,67.24,25,11,2,,,,1,,,,,,,,39,67.24,12,,1,,2,24,Falu
Szúcs,284,159,159,55.99,55.99,111,32,,3,,,12,1,,,,,,,159,55.99,31,2,2,3,10,111,Falu
Szuha,1221,876,864,71.74,70.76,562,227,,17,3,,55,,,,,,,,870,71.25,233,9,18,10,55,543,Falu
Szuhafő,443,334,327,75.4,73.81,162,128,9,2,1,1,24,,,,,,,,326,73.59,125,2,11,3,22,162,Falu
Szuhakálló,103,80,80,77.67,77.67,47,11,,,,1,4,17,,,,,,,78,75.73,20,1,1,1,6,49,Falu
Szuhogy,766,479,472,62.53,61.62,265,151,10,,1,2,38,,,1,4,,,,471,61.49,152,3,8,1,41,266,Falu
Szulimán,806,484,473,60.05,58.68,317,83,4,3,,1,42,23,,,,,,,477,59.18,89,,6,1,50,330,Falu
Szulok,187,116,113,62.03,60.43,76,22,3,,,,12,,,,,,,,114,60.96,24,,3,1,11,75,Falu
Szurdokpüspöki,472,336,331,71.19,70.13,213,107,,1,,,10,,,,,,,,319,67.58,52,,9,,5,153,Falu
Szűcsi,206,131,129,63.59,62.62,88,24,,2,2,,13,,,,,,,,126,61.17,13,1,,,8,35,Falu
Szügy,1483,1012,1006,68.24,67.84,569,314,20,6,5,8,84,,,,,,,,1009,68.04,289,12,17,6,99,586,Falu
Szűr,1110,831,825,74.86,74.32,343,247,11,5,5,2,212,,,,,,,,824,74.23,279,1,19,7,132,386,Falu
Tab,3326,2206,2169,66.33,65.21,1259,788,,51,14,57,,,,,,,,,2189,65.81,745,24,59,19,176,1166,Falu
Tabajd,746,557,555,74.66,74.4,411,99,17,4,1,,23,,,,,,,,552,73.99,100,2,18,4,28,400,Falu
Tabdi,867,613,608,70.7,70.13,437,98,,27,,2,44,,,,,,,,603,69.55,114,5,6,14,43,421,Falu
Táborfalva,2752,1673,1651,60.79,59.99,975,510,42,10,,,114,,,,,,,,1653,60.07,529,13,38,16,95,962,Falu
Tác,1344,989,984,73.59,73.21,655,226,32,13,,4,54,,,,,,,,982,73.07,231,4,37,15,68,626,Falu
Tagyon,78,63,62,80.77,79.49,41,17,,,,,4,,,,,,,,62,79.49,12,,,,5,32,Falu
Tahitótfalu,4857,3673,3647,75.62,75.09,2268,1007,135,36,17,16,168,,,,,,,,3644,75.03,1045,16,183,43,190,2164,Kisváros
Takácsi,658,472,470,71.73,71.43,325,117,4,2,,,22,,,,,,,,471,71.58,108,1,4,5,30,322,Falu
Tákos,279,216,208,77.42,74.55,164,34,,,,,10,,,,,,,,209,74.91,27,,,,8,174,Falu
Taksony,5279,3903,3854,73.93,73.01,2013,1387,137,75,12,37,193,,,,,,,,3844,72.82,1286,27,135,63,193,1803,Kisváros
Taktabáj,403,277,275,68.73,68.24,243,28,,1,1,1,,1,,,,,,,275,68.24,27,2,,2,4,240,Falu
Taktaharkány,2689,1668,1638,62.03,60.91,1147,437,,11,8,14,,21,,,,,,,1646,61.21,425,14,23,10,84,1089,Falu
Taktakenéz,826,520,515,62.95,62.35,443,68,,2,,1,,1,,,,,,,507,61.38,72,,1,3,12,419,Falu
Taktaszada,1362,776,770,56.98,56.53,615,140,,3,,4,,8,,,,,,,770,56.53,130,2,6,3,23,606,Falu
Taliándörögd,528,369,356,69.89,67.42,202,134,9,9,,,,2,,,,,,,360,68.18,98,7,20,5,30,200,Falu
Tállya,1370,843,820,61.53,59.85,402,315,11,6,3,12,60,11,,,,,,,831,60.66,306,16,18,9,71,411,Falu
Tamási,6291,4361,4303,69.32,68.4,2406,1448,,64,,24,361,,,,,,,,4309,68.49,1401,16,112,43,348,2327,Kisváros
Tanakajd,621,475,469,76.49,75.52,292,147,,4,,,26,,,,,,,,470,75.68,135,3,13,8,29,281,Falu
Táp,585,426,423,72.82,72.31,304,91,,6,,4,18,,,,,,,,420,71.79,99,3,12,6,28,272,Falu
Tápióbicske,2782,1695,1675,60.93,60.21,1071,405,32,33,,15,119,,,,,,,,1683,60.5,406,12,34,29,140,1062,Falu
Tápiógyörgye,2712,1539,1514,56.75,55.83,860,475,32,23,,21,103,,,,,,,,1517,55.94,439,19,27,19,96,917,Falu
Tápióság,2222,1413,1385,63.59,62.33,790,443,38,17,,3,94,,,,,,,,1392,62.65,442,5,30,19,83,813,Falu
Tápiószecső,4962,3247,3186,65.44,64.21,1841,967,61,52,,29,236,,,,,,,,3200,64.49,937,33,60,53,242,1874,Kisváros
Tápiószele,4787,2738,2701,57.2,56.42,1590,809,70,24,,21,187,,,,,,,,2708,56.57,779,12,65,16,194,1642,Kisváros
Tápiószentmárton,4585,3006,2971,65.56,64.8,1935,753,50,38,,19,176,,,,,,,,2980,64.99,694,21,47,28,195,1995,Kisváros
Tápiószőlős,2369,1421,1396,59.98,58.93,886,350,34,17,,10,99,,,,,,,,1406,59.35,347,7,26,21,99,906,Falu
Táplánszentkereszt,2006,1454,1442,72.48,71.88,858,474,,22,,,88,,,,,,,,1436,71.59,453,14,37,14,86,832,Falu
Tapolca,14135,10556,10458,74.68,73.99,4534,5580,182,52,,,,110,,,,,,,10371,73.37,4283,63,319,70,619,4997,Kisváros
Tapsony,419,261,254,62.29,60.62,155,91,,,,,8,,,,,,,,258,61.58,70,,,2,10,176,Falu
Tápszentmiklós,721,524,518,72.68,71.84,351,127,,5,,4,31,,,,,,,,519,71.98,140,6,16,8,41,308,Falu
Tar,1494,911,902,60.98,60.37,517,288,19,8,2,7,61,,,,,,,,902,60.37,264,5,25,9,62,537,Falu
Tarany,904,548,540,60.62,59.73,325,196,,1,,,18,,,,,,,,539,59.62,170,1,8,1,15,344,Falu
Tarcal,2162,1391,1338,64.34,61.89,860,446,,13,1,6,,12,,,,,,,1339,61.93,458,13,27,11,72,758,Falu
Tard,925,680,673,73.51,72.76,456,141,14,10,,4,44,4,,,,,,,673,72.76,159,6,18,10,48,432,Falu
Tardona,810,539,531,66.54,65.56,268,200,15,1,,1,45,,,,1,,,,529,65.31,194,5,19,2,39,269,Falu
Tardos,1368,964,946,70.47,69.15,441,378,24,,,16,71,16,,,,,,,953,69.66,361,20,25,8,73,453,Falu
Tarhos,628,409,402,65.13,64.01,302,63,4,2,2,5,24,,,,,,,,398,63.38,71,7,4,1,29,286,Falu
Tarján,2123,1576,1555,74.23,73.25,897,478,31,,,22,107,20,,,,,,,1552,73.1,411,15,25,15,106,718,Falu
Tarjánpuszta,337,265,258,78.64,76.56,171,62,,1,,2,22,,,,,,,,257,76.26,74,1,4,3,22,153,Falu
Tárkány,1162,749,739,64.46,63.6,502,174,14,9,,5,35,,,,,,,,742,63.86,151,4,13,7,51,516,Falu
Tarnabod,427,175,173,40.98,40.52,137,32,,,1,,3,,,,,,,,174,40.75,34,,,1,3,136,Falu
Tarnalelesz,1199,890,873,74.23,72.81,724,119,,4,,,20,6,,,,,,,871,72.64,124,6,7,4,25,705,Falu
Tarnaméra,1315,951,944,72.32,71.79,514,342,,14,2,,72,,,,,,,,943,71.71,355,6,13,4,72,493,Falu
Tarnaörs,1250,754,739,60.32,59.12,562,145,,3,3,,26,,,,,,,,742,59.36,146,1,9,1,24,561,Falu
Tarnaszentmária,196,155,155,79.08,79.08,92,50,,,,,12,1,,,,,,,153,78.06,47,1,1,,13,89,Falu
Tarnaszentmiklós,604,346,338,57.28,55.96,229,89,,2,2,,16,,,,,,,,336,55.63,88,2,4,,13,229,Falu
Tarnazsadány,843,504,497,59.79,58.96,373,115,,5,1,,3,,,,,,,,498,59.07,100,6,2,6,1,383,Falu
Tárnok,7954,5666,5605,71.23,70.47,2669,2246,176,63,,,331,120,,,,,,,5621,70.67,2227,28,239,66,350,2693,Kisváros
Tárnokréti,149,120,119,80.54,79.87,87,23,,1,,,8,,,,,,,,119,79.87,22,3,4,1,6,83,Falu
Tarpa,1839,1141,1111,62.04,60.41,838,181,,8,,15,66,,,3,,,,,1114,60.58,177,10,12,5,56,854,Falu
Tarrós,75,44,44,58.67,58.67,30,11,,,,,2,1,,,,,,,44,58.67,10,,1,,2,31,Falu
Táska,280,216,212,77.14,75.71,181,22,,1,,,8,,,,,,,,213,76.07,23,1,1,,6,182,Falu
Tass,2233,1437,1418,64.35,63.5,1063,233,14,,,9,99,,,,,,,,1430,64.04,244,6,13,2,107,1058,Falu
Taszár,1485,1041,1023,70.1,68.89,507,468,,27,11,10,,,,,,,,,1032,69.49,460,8,30,22,62,450,Falu
Tát,4401,3098,3066,70.39,69.67,1486,1305,79,,,38,122,36,,,,,,,3085,70.1,1206,31,132,24,162,1506,Kisváros
Tata,17835,13326,13140,74.72,73.68,6510,5243,352,260,50,63,662,,,,,,,,13168,73.83,5241,97,506,180,770,6326,Középváros
Tata,17835,13326,13140,74.72,73.68,6510,5243,352,260,50,63,662,,,,,,,,13168,73.83,5241,97,506,180,770,6326,Középváros
Tatabánya,53851,36748,36397,68.24,67.59,17306,15222,935,578,174,278,1904,,,,,,,,36414,67.62,15201,343,1249,471,2233,16752,Nagyváros
Tataháza,950,559,549,58.84,57.79,351,147,,8,,,43,,,,,,,,555,58.42,143,4,13,6,38,351,Falu
Tatárszentgyörgy,1458,865,851,59.33,58.37,654,149,7,8,,,33,,,,,,,,854,58.57,149,4,12,8,38,643,Falu
Tázlár,1344,926,902,68.9,67.11,701,118,,15,,,68,,,,,,,,907,67.49,127,3,18,11,63,685,Falu
Téglás,5026,3172,3136,63.11,62.4,1839,1013,,43,6,27,196,,,,,,12,,3145,62.57,984,29,55,36,207,1834,Kisváros
Tekenye,364,249,248,68.41,68.13,177,43,10,,,1,17,,,,,,,,249,68.41,41,,11,2,13,182,Falu
Tékes,190,107,105,56.32,55.26,76,23,2,1,,,3,,,,,,,,107,56.32,18,3,,3,3,80,Falu
Teklafalu,251,130,124,51.79,49.4,91,26,3,,,,4,,,,,,,,128,51,28,1,1,,3,91,Falu
Telekes,395,282,273,71.39,69.11,221,35,,3,,,14,,,,,,,,278,70.38,31,1,3,2,19,222,Falu
Telekgerendás,1232,875,853,71.02,69.24,494,273,18,5,,5,48,10,,,,,,,859,69.72,257,16,23,11,67,475,Falu
Teleki,151,106,105,70.2,69.54,81,19,,3,1,1,,,,,,,,,106,70.2,21,1,,1,4,79,Falu
Telki,3053,2607,2571,85.39,84.21,1117,1272,88,24,,7,63,,,,,,,,2577,84.41,1175,8,162,32,77,1110,Falu
Telkibánya,447,312,306,69.8,68.46,218,74,1,3,1,,7,2,,,,,,,302,67.56,70,1,3,2,10,216,Falu
Tengelic,1712,1028,1019,60.05,59.52,643,271,16,5,3,,81,,,,,,,,1022,59.7,254,7,13,12,76,659,Falu
Tengeri,48,37,36,77.08,75,23,10,1,1,,,,1,,,,,,,37,77.08,12,,2,,,22,Falu
Tengőd,335,206,200,61.49,59.7,148,42,,4,1,5,,,,,,,,,206,61.49,33,1,3,3,19,147,Falu
Tenk,954,613,608,64.26,63.73,395,159,,9,1,,44,,,,,,,,605,63.42,167,3,13,7,45,370,Falu
Tényő,1337,974,963,72.85,72.03,648,249,,7,,5,54,,,,,,,,967,72.33,240,6,32,5,68,616,Falu
Tépe,793,541,535,68.22,67.47,372,82,,2,,7,31,41,,,,,,,532,67.09,90,7,11,,38,386,Falu
Terem,541,320,310,59.15,57.3,203,86,3,2,,2,14,,,,,,,,317,58.6,72,2,,2,19,222,Falu
Terény,273,212,211,77.66,77.29,144,25,2,2,1,1,36,,,,,,,,211,77.29,36,2,4,2,15,151,Falu
Tereske,536,366,359,68.28,66.98,255,66,12,2,1,2,21,,,,,,,,361,67.35,75,1,15,2,13,255,Falu
Teresztenye,19,15,15,78.95,78.95,9,5,,,,,,1,,,,,,,15,78.95,6,,,,1,8,Falu
Terpes,151,110,107,72.85,70.86,104,2,,,,,1,,,,,,,,108,71.52,3,,,,2,103,Falu
Tés,694,502,489,72.33,70.46,320,125,11,3,,,30,,,,,,,,492,70.89,126,4,12,4,34,312,Falu
Tésa,77,56,56,72.73,72.73,25,26,1,,,,4,,,,,,,,56,72.73,23,,2,,4,27,Falu
Tésenfa,142,90,89,63.38,62.68,70,14,1,1,,,3,,,,,,,,89,62.68,18,1,1,2,2,65,Falu
Téseny,228,125,121,54.82,53.07,90,18,2,1,,,9,1,,,,,,,124,54.39,20,,1,,10,93,Falu
Teskánd,924,737,731,79.76,79.11,430,218,14,12,,3,49,4,,1,,,,,733,79.33,220,4,18,8,53,430,Falu
Tét,3186,2135,2122,67.01,66.6,1599,364,,33,,,120,,,,,6,,,2118,66.48,385,25,42,32,126,1508,Falu
Tetétlen,1031,631,612,61.2,59.36,422,136,,7,2,2,43,,,,,,,,618,59.94,126,3,12,5,38,431,Falu
Tevel,1069,687,673,64.27,62.96,452,168,,10,,11,32,,,,,,,,680,63.61,151,7,12,13,39,431,Falu
Tibolddaróc,1048,654,649,62.4,61.93,372,179,12,11,1,3,65,6,,,,,,,642,61.26,196,6,11,9,61,359,Falu
Tiborszállás,802,502,487,62.59,60.72,349,96,,3,,3,36,,,,,,,,493,61.47,85,2,7,4,36,359,Falu
Tihany,1036,782,773,75.48,74.61,429,259,29,12,,2,42,,,,,,,,777,75,263,4,34,7,47,422,Falu
Tikos,101,58,56,57.43,55.45,46,8,,,,,2,,,,,,,,56,55.45,7,1,,,3,45,Falu
Tilaj,131,109,109,83.21,83.21,81,15,4,,,,9,,,,,,,,109,83.21,13,,,1,11,84,Falu
Timár,953,541,528,56.77,55.4,399,100,,3,,1,24,1,,,,,,,530,55.61,103,3,2,1,19,397,Falu
Tinnye,1409,1003,988,71.19,70.12,473,403,44,5,,4,59,,,,,,,,984,69.84,370,4,72,6,57,464,Falu
Tiszaadony,498,331,326,66.47,65.46,251,57,,3,,,15,,,,,,,,327,65.66,53,,1,3,12,258,Falu
Tiszaalpár,3862,2407,2381,62.33,61.65,1563,548,66,37,,,167,,,,,,,,2385,61.76,548,20,60,27,175,1555,Kisváros
Tiszabábolna,252,169,169,67.06,67.06,128,27,2,,2,1,7,2,,,,,,,169,67.06,33,1,2,,10,123,Falu
Tiszabecs,1027,558,542,54.33,52.78,388,126,,,,,21,,,7,,,,,544,52.97,105,2,,,27,410,Falu
Tiszabercel,1339,895,872,66.84,65.12,689,144,,2,,7,26,4,,,,,,,882,65.87,147,5,5,1,25,699,Falu
Tiszabezdéd,1468,701,690,47.75,47,502,146,,5,,6,30,,,1,,,,,690,47,146,4,3,1,42,494,Falu
Tiszabő,1301,990,977,76.1,75.1,965,10,,,1,,1,,,,,,,,984,75.63,9,1,,,2,972,Falu
Tiszabura,1915,1289,1275,67.31,66.58,1182,75,,3,7,,8,,,,,,,,1280,66.84,78,1,6,3,13,1179,Falu
Tiszacsécse,188,129,126,68.62,67.02,94,24,,1,,2,3,,,2,,,,,125,66.49,19,2,,,7,97,Falu
Tiszacsege,3645,2007,1978,55.06,54.27,1369,493,,9,2,5,100,,,,,,,,1985,54.46,462,8,30,6,110,1369,Falu
Tiszacsermely,349,177,172,50.72,49.28,138,25,,,2,,6,1,,,,,,,173,49.57,24,3,2,,6,138,Falu
Tiszadada,1611,1061,1036,65.86,64.31,786,188,,7,,5,48,2,,,,,,,1045,64.87,186,3,14,6,43,792,Falu
Tiszaderzs,850,515,505,60.59,59.41,399,75,,5,,,26,,,,,,,,512,60.24,76,8,7,1,33,387,Falu
Tiszadob,2005,1086,1065,54.16,53.12,697,284,,5,,8,64,7,,,,,,,1071,53.42,277,6,18,2,73,695,Falu
Tiszadorogma,308,220,213,71.43,69.16,154,34,3,1,,2,17,2,,,,,,,214,69.48,47,3,5,,15,144,Falu
Tiszaeszlár,1850,1142,1116,61.73,60.32,826,198,,8,,2,59,23,,,,,,,1133,61.24,193,4,13,3,55,865,Falu
Tiszaföldvár,8373,4972,4877,59.38,58.25,2605,1652,97,,15,47,461,,,,,,,,4910,58.64,1543,59,103,31,431,2742,Kisváros
Tiszafüred,8728,5763,5691,66.03,65.2,3329,1924,,65,20,,353,,,,,,,,5692,65.22,1866,30,114,46,405,3231,Kisváros
Tiszagyenda,805,468,462,58.14,57.39,302,132,,7,2,,19,,,,,,,,462,57.39,118,1,9,7,19,308,Falu
Tiszagyulaháza,566,364,362,64.31,63.96,237,70,,6,2,3,44,,,,,,,,363,64.13,77,3,3,3,47,230,Falu
Tiszaigar,550,317,311,57.64,56.55,246,46,,,1,,18,,,,,,,,310,56.36,35,1,2,,19,253,Falu
Tiszainoka,292,179,176,61.3,60.27,124,37,3,,1,4,7,,,,,,,,177,60.62,26,5,6,,3,137,Falu
Tiszajenő,1231,815,799,66.21,64.91,505,173,25,4,,5,81,,,,,,,6,804,65.31,179,4,20,4,94,503,Falu
Tiszakanyár,1206,790,776,65.51,64.34,586,134,,7,5,4,40,,,,,,,,780,64.68,159,3,8,7,41,560,Falu
Tiszakarád,1720,785,769,45.64,44.71,619,112,5,,2,1,29,1,,,,,,,774,45,100,2,5,2,33,632,Falu
Tiszakécske,9094,5978,5883,65.74,64.69,3671,1617,158,,,78,359,,,,,,,,5918,65.08,1584,60,158,41,388,3687,Kisváros
Tiszakerecseny,727,425,415,58.46,57.08,317,80,,1,,2,15,,,,,,,,416,57.22,71,1,4,,11,329,Falu
Tiszakeszi,1925,1180,1149,61.3,59.69,774,250,19,9,4,9,73,11,,,,,,,1163,60.42,288,8,16,7,65,778,Falu
Tiszakóród,626,385,377,61.5,60.22,269,76,,6,,5,20,,,1,,,,,380,60.7,74,2,4,4,17,279,Falu
Tiszakürt,1042,620,612,59.5,58.73,380,169,12,,2,7,42,,,,,,,,612,58.73,146,11,18,3,45,389,Falu
Tiszaladány,470,350,344,74.47,73.19,272,67,,1,,1,,3,,,,,,,347,73.83,68,1,4,,15,259,Falu
Tiszalök,4071,2517,2463,61.83,60.5,1420,851,,20,,15,135,22,,,,,,,2483,60.99,812,20,42,23,142,1444,Kisváros
Tiszalúc,3828,2061,2018,53.84,52.72,1356,571,,32,8,21,,30,,,,,,,2034,53.13,529,19,46,25,154,1261,Kisváros
Tiszamogyorós,483,348,341,72.05,70.6,250,67,,2,,3,19,,,,,,,,342,70.81,66,2,4,2,22,246,Falu
Tiszanagyfalu,1439,864,841,60.04,58.44,552,231,,6,,7,39,6,,,,,,,850,59.07,234,7,11,2,53,542,Falu
Tiszanána,1762,1075,1046,61.01,59.36,789,171,9,7,,9,61,,,,,,,,1064,60.39,172,6,9,3,63,811,Falu
Tiszaörs,1024,615,609,60.06,59.47,430,142,,3,4,,30,,,,,,,,609,59.47,142,1,13,,42,411,Falu
Tiszapalkonya,1127,705,698,62.56,61.93,437,247,,3,,7,,4,,,,,,,699,62.02,224,2,10,2,34,427,Falu
Tiszapüspöki,1574,827,821,52.54,52.16,507,224,16,,2,7,65,,,,,,,,817,51.91,215,6,14,6,64,512,Falu
Tiszarád,393,200,198,50.89,50.38,163,26,,2,3,1,3,,,,,,,,197,50.13,31,,2,1,3,160,Falu
Tiszaroff,1303,748,738,57.41,56.64,522,178,,8,4,,26,,,,,,,,739,56.72,169,5,11,2,32,520,Falu
